user,text,latitude,longitude
faniach_,"kapan fullteam??
intinya sayang terus jangan putus ya? @ Lippo Plaza Jogja https://t.co/HrWyFWB3We",-7.78339142,110.39069608
ianramadhanss,"Madang meneh lah (at Bakso &amp; Mie Ayam ""Wong Sewu"") ? https://t.co/PBsCDlu2q8",-7.76985,110.40205
nikmufarohah,Jangan lupaaa belajar! (at Anak Rimba Adventure) [pic] ? https://t.co/HxHuMDjsl9,-7.77736,110.3845
UllandPradinata,Si cantik dan gemesnya aunty . Betah banget kalo gendong debay satu ini. ?? (with Bagus Harun  at RSKIA Sadewa) ? https://t.co/ssrD5CvyJn,-7.73575,110.45366
putrastation,Ndelok baby (at RS Panti Rapih) ? https://t.co/iD0gzm9sHR,-7.77733,110.37785
erwitami,"Nyanyi? Fals.
Main musik? Gabisa.
Produce musik? Boro-boro~
Bisanya cuma muterin musik terbaik? https://t.co/GscCQv5JiE",-7.80083911,110.34287722
anandhavidha,Santaaaaaaiiiiii deeeeeeekkkk (with Devia at sushi story) ? https://t.co/fhSHqf4NoW,-7.76124,110.39447
diantindrawan,"Setiap perempuan pasti cantik, tapi tetap saja butuh makeup untuk setiap penampilannya. Tak? https://t.co/E373gGj4zN",-7.80138889,110.36444444
widprasetiyo,At @hartonomall_yk ? https://t.co/nNuL2LpJCJ,-7.75925,110.39879
innocentiaaph,Manusia manusia gabut?? (with Agnes and Ayatul at FOOD GARDEN Jogja City Mall) ? https://t.co/e3GvqpWI8d,-7.75378,110.36076
Lisnaaprilyaa,chit chat ?? (with Devi at CIAO Italian Gelato) ? https://t.co/3VvardgMcK,-7.7737,110.38939
rizkiprtw,Rung rampungan. (at @puskotjogja) ? https://t.co/E1YEl8iSPZ,-7.78411,110.3745
gitachrissi,"Reuni tmn sekolah dulu biar inget pas jaman penuh dramaa wakaka (with Juanita, Dita, and rizgi at @marko_milk) ? https://t.co/l9aX6Ivbro",-7.80282,110.34298
metaandryani,Hihihi (at Gramedia) ? https://t.co/oeNfUp3NrA,-7.75382,110.36041
karinannisa_,Rindu. @ SMP N 1 Yogya https://t.co/vyeuTS2Eo5,-7.777626,110.37512254
syahrin,#streetphoto #streetphotography #photojournalism #photojournalist #blackandwhite? https://t.co/DF1Cvawu4u,-7.805689,110.36406
ramaxna,#instabatikindonesia #instabatikfashion #batikfashionweek #batiklasem _touchoframadhani_ @ Jogja? https://t.co/9s0gHxilnW,-7.75605453,110.36150665
AsyaraRizki,Nyidam banget ya Mbk Leph?? (with Levina at sushi story) ? https://t.co/pBGfmB7u69,-7.76123,110.39442
resmile_rental,"Penghujung senja beserta rintangannya
.
#instapic #senja #sunset #travelpics? https://t.co/mdu8QVeynU",-7.7900677,110.3662732
nallacrs,Nyidam! (with Risma at Mangkok Kelapa [cream &amp; fruit]) ? https://t.co/CHIDCc1Rjz,-7.76261,110.41201
Revitaniap,"Sea..// @ Pantai Sarangan, Gunung Kidul, Yogyakarta https://t.co/SVGxe8s0m0",-7.74223521,110.36381431
Farahnrfjrn,Unch? (with Nada and Dian at Bellina Studio) ? https://t.co/AQCJRgjfpA,-7.77518,110.37501
7U54N,#redsky #dusk #senja #jingga #renjana #lembayung #riverside #xcode #yogyakarta #istimewa @ TOP? https://t.co/O4z87LTA50,-7.78218446,110.37219276
winda_kidrauhl,"Lama gak ketemu ya kris, sekalinya ketemu cuman bentaran doang ?.. Belum kangen-kangenan, next? https://t.co/1lzmeuBywY",-7.78290999,110.39988973
hendrapratama75,Alhamdulillah ? (at @mr_huuhhaah) ? https://t.co/tksQoxSyfp,-7.77744,110.38374
vania_ps,JUG IJAG IJUG IJAG IJUG~~~ ??? ? Kereta Malam by Evie Tamala (at @kai121) ? https://t.co/03B1nxXdOL,-7.79027,110.37608
benz_montague,Just posted a photo @ Hotel Tara Jl.Magelang https://t.co/BBjPsmvm8r,-7.77198839,110.36122461
KykyMonita,Sendiri ja seh (at PREKSU Ayam Geprek &amp; Susu) ? https://t.co/uhC5siIMYY,-7.76523,110.38872
padovanoo,alhamdulilah sehabis mati total :(( (at WKYK Service Handphone) ? https://t.co/0eCONpeLWB,-7.78801,110.41018
Nnovian_,"Qtime
#eeaakkk (with Rizky Putri, Doli, and banyak at Secangkir Jawa) ? https://t.co/pRzezQPSp8",-7.73479,110.42567
dhevikomala,Enak banget ? punya anita lgsunh hbis (with Anita and Kartika at Universitas PGRI Yogyakarta) [pic] ? https://t.co/sAHixGM3z9,-7.8063,110.34207
AfridaListaNrY,? (with Tia at @ugmyogyakarta) ? https://t.co/WlJEmEvsN9,-7.77212,110.37672
desycahyanti12,"Selamat buka puasa ? (with Nirmala at ""Warung Giyok"" Spesial Ayam Kuah) ? https://t.co/9jh8aAFJHn",-7.79765,110.38367
gilbertagaluh14,mengisi perutt (with theresia at Warung Poksay) ? https://t.co/JkrdKnAS3O,-7.80641,110.36706
anivanuth,hihi (at Legend Premium Coffee) ? https://t.co/QsAAtItWRi,-7.78838,110.37276
YBP_12,Mlipir (with pendekar at Outlet Biru) ? https://t.co/8Ewb7FPGIJ,-7.76953,110.40204
SegoTiwuL,"Selamat ulang tahun NRC, sukses deh.. 
Semakin baik lagi kedepannya, disejahterakan sama? (at Red Cliff) [pic] ? https://t.co/Oa2MeTKXEl",-7.76033,110.42216
macanon81,Sorry for late ? (with Asteria at @jogjacitymall) [pic] ? https://t.co/zkiwFp9dwK,-7.7563,110.36133
Jogjacitymall,"Galih dan Ratna sudah dapat kamu tonton mulai hari ini di Bioskop.

Jangan lewatkan kesempatan? https://t.co/ztK00OVxxv",-7.75605453,110.36150665
Mizwar_rock,"Jalan-jalan di Yogyakarta (1)

#basapoeharita @ Beteng Vredeburg https://t.co/nFnZmXAiWF",-7.79506,110.36583
reva_repah,"Lagi-lagi? (with Alfian, nada, and Fitria at MK cafe) ? https://t.co/YDMYTLPZAc",-7.77612,110.37538
Dheamarkar,?????? (with Harry at @jog_ap1) ? https://t.co/xdd4ASfWyd,-7.78548,110.43842
DennyPriyono,"Boss thank you :3 (with afni, ika, and radit at @pizza_hutid) ? https://t.co/qsxZkfElIo",-7.78383,110.40372
Jogjacitymall,Siap - siap ketemu dengan pemain Film Moon Cake Story yang bakalan dateng ke Jogja City Mall? https://t.co/wa04KXEB2W,-7.75605453,110.36150665
Tita_Ferina,Malu setengah mampus? (with ? at @telap12) ? https://t.co/YX55E7G3K5,-7.81282,110.38674
LauraDP_,11-12 Ling2? (at @bowllingid) ? https://t.co/eVIuJbV2j0,-7.76388,110.39349
yogi_prakoso,"I'm at DF Fitness and Aerobic in Yogyakarta, Indonesia https://t.co/4dQQSkhHcw",-7.77829302,110.39278428
ramaxna,#instasport #insta #instago #instagood #instaphoto #digitalprint #jersey by @AwangNingali @? https://t.co/Xfyvx2Thpj,-7.80138889,110.36444444
SyafiraMiftasya,hello? (at Yogyakarta) ? https://t.co/DYZ0jyLeIp,-7.7835,110.39097
NoviaMndgh,Sampai subuh? (with arifah and maria at @jogjastudent) ? https://t.co/dAYLOv2tZ1,-7.80991,110.38134
rheerhiiyyoo1,Untung pas lg ada duit ? Pdhl di panel orderan msh 1 minggu lg delivernya... ?? (at Purwomartani kalasan) [pic] ? https://t.co/U8t3LfWu5p,-7.74342,110.44894
little_joe72,Hamdallah #UntungKeburu ? (at Garuda Indonesia Executive Lounge) ? https://t.co/XKGi2xg4iR,-7.78594,110.43784
kopi_gemati,Mitra Kopi #mitrakopi #kopi #bantul #jogja https://t.co/EWIBPu01Kn,-7.7586898,110.3947016
yosigravica,gath and training with Seagate (with danang at @harperjogja) [pic] ? https://t.co/PU5Vg0kPWW,-7.78494,110.36705
AffifahDewi,Red velvet ??? (with Qurrotun at Maxx Coffee Lippo Plaza) ? https://t.co/BmqcWChuAf,-7.78368,110.39069
jessicaanovi,?? (with Enjang at @waroengsteak) ? https://t.co/pn213A4KIf,-7.80967,110.37729
AmyNoptaryy,Selamat ya mas sidangnya lancar trus sekarang udah punya gelar baru. Ciyee udah jadi Aris Arpian? https://t.co/D044qYpcLb,-7.8019018,110.3847831
fitrohmw,Olahraga sore (at @jogjastudent) ? https://t.co/dpPZcUbmZu,-7.78314,110.39874
satrianggaraa,Mangkat peteng bali peteng :( (at FE Universitas Islam Indonesia) [pic] ? https://t.co/6XQ9uIMytV,-7.76028,110.41125
