|abot|,|berat|
|adhem|,|dingin|
|adhi|,|adik|
|adoh|,|jauh|
|adus|,|mandi|
|akeh|,|banyak|
|ambu|,|bau|
|amit|,|permisi|
|amor|,|kumpul|
|amot|,|muat|
|angel|,|sulit|
|angger|,|asalkan|
|angon|,|menggembala|
|anyar|,|baru|
|apik|,|bagus|
|arep|,|mau|
|asu|,|anjing|
|ati|,|hati|
|awak|,|badan|
|awan|,|siang|
|bacot|,|omongan|
|bacut|,|terlanjur|
|baki|,|nampan|
|bako|,|tembakau|
|bali|,|kembali|
|balung|,|tulang|
|banyu|,|air|
|barep|,|sulung|
|bathuk|,|dahi|
|batur|,|pembantu|
|becik|,|baik|
|bedhil|,|pistol|
|bedo|,|beda|
|ben|,|biarlah|
|bengawan|,|sungai|
|bengi|,|malam|
|biyen|,|dulu|
|bojo|,|pasangan|
|bondo|,|harta|
|brengos|,|kumis|
|bubrah|,|rusak|
|budhal|,|berangkat|
|bungah|,|gembira|
|buri|,|belakang|
|buyar|,|berantakan|
|cangkem|,|mulut|
|caturan|,|omongan|
|cedhak|,|dekat|
|cekel|,|dipegang|
|celeng|,|babi|
|cendhek|,|pendek|
|cengel|,|tengkuk|
|cewok|,|cebok|
|cilik|,|kecil|
|dadi|,|jadi|
|dalan|,|jalan|
|dandan|,|berhias|
|dhayoh|,|tamu|
|dhek|,|ketika|
|dhemen|,|senang|
|dhenger|,|mengerti|
|dhengkul|,|lutut|
|dhewe|,|sendiri|
|dhisik|,|dahulu|
|dhuwit|,|uang|
|dhuwur|,|tinggi|
|dino|,|hari|
|dodo|,|dada|
|dokok|,|taruh|
|dol|,|jual|
|dolan|,|main-main|
|dowo|,|panjang|
|doyan|,|mau|
|driji|,|jari|
|dudu|,|bukan|
|dulang|,|menyuapi|
|dulur|,|saudara|
|durung|,|belum|
|duwe|,|punya|
|edan|,|gila|
|edoh|,|menjauh|
|elek|,|jelek|
|elih|,|memindah|
|eling|,|ingat|
|elmu|,|ilmu|
|eluh|,|airmata|
|eluh|,|menangis|
|embah|,|kakek|
|embok|,|ibu|
|embuh|,|tidak tahu|
|embun-embun|,|ubun-ubun|
|emoh|,|tidak mau|
|endem|,|mabuk|
|endhas|,|kepala|
|endheg|,|henti|
|endhog|,|telur|
|endi|,|mana|
|enggo|,|pakai|
|enggon|,|tempat|
|enom|,|muda|
|enom|,|muda|
|enom|,|muda|
|entek|,|habis|
|enteni|,|tunggu|
|entut|,|kentut|
|enyang|,|tawar|
|epek|,|ambil|
|esuk|,|pagi|
|ewuh|,|repot|
|gadhe|,|menggadaikan|
|gae|,|membuat|
|galo|,|itulah|
|gaman|,|senjata tajam|
|gaman|,|pedang|
|garing|,|kering|
|gawe|,|membuat|
|gedhang|,|pisang|
|gedhe|,|besar|
|geger|,|punggung|
|gelem|,|mau|
|gelut|,|bertengkar|
|gemak|,|puyuh|
|g??ndhuk|,|putri|
|geni|,|api|
|genti|,|ganti|
|gering|,|kurus|
|getih|,|darah|
|glugu|,|kelapa|
|godheg|,|cambang|
|godhong|,|daun|
|golek|,|cari|
|gubug|,|pukul|
|gugah|,|bangun|
|gugu|,|menurut|
|gulu|,|leher|
|gunem|,|bicara|
|guyu|,|tawa|
|icip|,|dicicip|
|idep|,|bulu mata|
|ider|,|keliling|
|idu|,|ludah|
|ijo|,|hijau|
|ijol|,|tukar|
|ika|,|itu|
|iket|,|ikat|
|iki|,|ini|
|iku|,|itu|
|ilang|,|hilang|
|ilat|,|lidah|
|ilo|,|cermin|
|imbuh|,|tambah|
|impi|,|mimpi|
|inep|,|inap|
|ingu|,|pelihara|
|ireng|,|hitam|
|irung|,|hidung|
|isih|,|masih|
|isin|,|malu|
|ising|,|berak|
|iso|,|bisa|
|isor|,|bawah|
|iwak|,|ikan|
|jaluk|,|minta|
|janggut|,|dagu|
|jaran|,|kuda|
|jare|,|katanya|
|jarik|,|kain batik|
|jarwa|,|artinya|
|jembar|,|luas|
|jeneng|,|nama|
|jero|,|dalam|
|jipukne|,|mengambilkan|
|jobo|,|luar|
|jungkat|,|sisir|
|jupuk|,|ambil|
|kabecikan|,|kebaikan|
|kabeh|,|semua|
|kacek|,|selisih|
|kadhemen|,|kedinginan|
|kadohan|,|kejauhan|
|kae|,|itu|
|kajaba|,|kecuali|
|kaji|,|mengaji|
|kakang|,|kakak|
|kakehan|,|kebanyakan|
|kalong|,|kelelawar|
|kalungguhan|,|kedudukan|
|kaluputan|,|kesalahan|
|kambil|,|kelapa|
|kambu|,|tercium baunya|
|kamot|,|muat|
|kanca|,|teman|
|kandel|,|tebal|
|kanggo|,|buat|
|kanti|,|hingga|
|karep|,|niat|
|karepe|,|maksudnya|
|karo|,|dengan|
|kathok|,|celana|
|kathokan|,|bercelana|
|kawruh|,|pengetahuan|
|kebacut|,|terlanjur|
|kebanyon|,|sawah|
|kebo|,|kerbau|
|kebocahen|,|kekanak-kanakan|
|keciliken|,|terlalu kecil|
|kedadeyan|,|kejadian|
|kejaba|,|kecuali|
|kekarepane|,|kehendak|
|kekemon|,|berkumur|
|kelairan|,|kelahiran|
|kelakon|,|terlaksana|
|kelalen|,|terlupa|
|kelangan|,|kehilangan|
|kelaran|,|kesakitan|
|kelingan|,|teringat|
|keluron|,|keguguran|
|kempol|,|betis|
|kemu|,|kumur|
|kemul|,|selimut|
|kena|,|boleh|
|kendel|,|berani|
