user,text,sentiment,latitude,longitude
Sischa_NcZs,"selalu menjadi sebuah pertanyaan, tentang arti tanggung jawab yang sesungguhnya,. ?",neutral,-7.7682281,110.333674
op27motor,"Lemm borrr???
#rannalt #rannaltracingteam #op27 #op27motor #op27factory #op27speedshop? https://t.co/LMY57zCZpC",neutral,-7.73288,110.445185
faisalrobby,Lapaaarr (at @hokben) ? https://t.co/fkTTxVZMZG,negative,-7.7576,110.38175
marcellminol,"Rabu tergaul (with Jessica Yohana at "" TROTOAR NIGHT LIFE "" Malioboro) ? https://t.co/Jf9K0p543D",neutral,-7.79221,110.36706
peakmovic,E=mc? @ Gubug Mr.Phe https://t.co/TyGrih2cxG,neutral,-7.8143865,110.3023005
willy_HUCK,Unch unch ??????? (at Omah Sastro Guesthouse) ? https://t.co/ctJrvt9F8M,neutral,-7.7716,110.39493
AlfianNvriansyh,"Camp camp (with Nuku, Elang, and 2 others at Merbabu Hotel Yogyakarta) ? https://t.co/E2kY63y8tu",neutral,-7.79401,110.36546
kopi_gemati,Mitra Kopi #mitrakopi #kopi #bantul #jogja https://t.co/8CFaXXwULy,neutral,-7.8352529,110.3777642
kopi_gemati,"Ngopi dulu Lur...
https://t.co/Do63Zps1RE
#kopi #bantul #jogja",neutral,-7.8565154,110.3793235
peakmovic,fast to PMI eko_purnomo_88 vs gedhang_go @ Pelem Gurih Gamping https://t.co/2OV68ybRU7,positive,-7.79983567,110.33037007
bhalounk,"Terima kasih Tuhan untuk malam ini... Semoga ke depannya lebih baik lagi...  ?

Kalian? (at @bhalounk) [pic] ? https://t.co/JlfnctQIA7",positive,-7.77147,110.30724
giffaririfki,"Astronaut x jogja.mbhinneka #JogjaMBhinneka
-
-
-
-
#astronaut #illustration #space #universe? https://t.co/yzzbiqjcrb",neutral,-7.80138889,110.36444444
risqha_rrisk,Masak mie emang susah~ ? (at Seturan North Side) [pic] ? https://t.co/1iKTg9qdOb,positive,-7.77378,110.40909
mairmacahya,karna aku dengan kesibukanku untuk melupakanmu.,negative,-7.8868684,110.3513512
agip_,"Bumi mu~ #haribumi #sasenitala @ Indonesian Institute of the Arts, Yogyakarta https://t.co/LLX5azcDHF",neutral,-7.85238889,110.35589167
HendroGattuso,"Malam Puncak perayaan HUT Kab. Kaimana ke-14, Mahasiswa Kaimana se-Jawa Bali &amp; Makasar (at Wisma Martha) [pic] ? https://t.co/YnK6Z5FZPQ",positive,-7.81003,110.40078
macanon81,K o s o ng - k o s o ng @ Igong Studio https://t.co/LSN7uWsEuF,positive,-7.806913,110.364864
moronvox,"?Swipe~

Sempatkan dolan disela sibuk dan tenggatmu.. #JareneSopo ?

#jogja #dolanjogja? https://t.co/o7vJw5P7n4",negative,-7.79905221,110.36517004
ria_dewantari,Zzzzz? ? Dead Story (with Ira and Arey at Perum Puri Sakinah) ? https://t.co/CmkA7MPqXF,negative,-7.83568,110.41261
yoga_stingray,"mencoba (kembali) bersatu dengan dia, karena sudah lama ku tak bercengkrama.

#bass #jogja? https://t.co/KZwSJ4mZmD",neutral,-7.79865674,110.38630857
AnyaAnya_,Keseruan sendiri naik odong-odong gaul di Alun-alun Jogja. Gak berenti ketawa setiap goes!?? https://t.co/EhZ2AMtJ3n,negative,-7.811931,110.363546
kopi_gemati,"Titip Jual Kopi #titipjual #kopi #bantul
https://t.co/FXvU3IG2p6",neutral,-7.8352529,110.3777642
AnyaAnya_,"Malam ini gantian deh, Paduka @panduwinataa bobo sendirian di Jakarta. Kita lagi Me time di? https://t.co/D6MA7fiXsz",positive,-7.80764508,110.34803152
agoezt89,"Kadang saya ingin mengurangi junxfood, tapi di jam jam seperti ini junxfood? (at Dimensi Advertising) [pic] ? https://t.co/irluQpUWh0",positive,-7.96985,110.55631
macanon81,Ini sopirku... Mana sopirmu... Wkwkwkwk ? (with Asteria at @macanon81) [pic] ? https://t.co/LXmnVORDaz,neutral,-7.8069,110.36524
glendaglendi,"Gudeg jam 23:50??? Why not ?

Epic sih ini orang2 masi antre jam segini buat? (w/ Izzati at Gudeg Pawon) [pic] ? https://t.co/vbsSeZcw0o",neutral,-7.80569,110.39021
Novalalfiaan,Semoga Allah melindungi kita semua? @ Jalan Malioboro Yogyakarta https://t.co/tV4cWT2xpd,positive,-7.79905221,110.36517004
Novalalfiaan,"""Maka nikmat tuhan-Mu yang manakah, yang kamu dustakan"" (QS? https://t.co/N6sNSh5pkk",positive,-7.80133654,110.36470781
Saifullah_Anwar,Sepenggal kenangan ketegangan praktikum kimia air di laboratorium? https://t.co/wFwlUwNPmW,positive,-7.78144,110.34399
handitaaa,Mampus ketemu anak ini (with Anshari at @cgvblitz) ? https://t.co/HLTq9qWVWB,neutral,-7.75952,110.39831
KhaerunisaAS,Wake Me Up When September Ends (Live) by Green Day (at @gastia) ? https://t.co/Lfao6qsXms,neutral,-7.79117,110.36427
artha_doit,"CAPTAIN TOWING JOGJA - LAYANAN DEREK TOWING 24 JAM
GO GO 'n crew (PURWOREJO -? (at CAPTAIN TOWING JOGJA) [pic] ? https://t.co/4l6sXhQSQ8",neutral,-7.75352,110.39807
milarosinta,"Urip Iku Urup ?
.
.
.
? by @mokstimofeevic
.
.
.
.
#javanese #womanstyle #milarosinta? https://t.co/Te682N27L6",neutral,-7.76789476,110.30442111
planktone,"Menclok sana menclok sini yang penting sehat. Sluman slumun slamet.

#jogja #jogjaistimewa? https://t.co/DRTlvZ9XFY",positive,-7.78305,110.36735725
artha_doit,"CAPTAIN TOWING JOGJA - LAYANAN DEREK TOWING 24 JAM
GO GO 'n crew (PURWOREJO - JOGJA)

Yang ini? https://t.co/MMUmPQbdpC",neutral,-7.7454272,110.3980036
GladysTriVellaD,"? (with Zihni, Akbariyatna, and 4 others at @blandongankopi) ? https://t.co/ehFUd2xwwA",neutral,-7.78888,110.39874
GladysTriVellaD,"? (with Zihni, Akbariyatna, and 4 others at @blandongankopi) ? https://t.co/ehFUd2xwwA",neutral,-7.78888,110.39874
Naharona_Rona1,Nugas :v,neutral,-7.71061,110.21102
nanindyamarisa,Andalan level 4 ? (with Ibnu at Mie Ayam Kamehame jalan solo) ? https://t.co/dW512tzGLb,neutral,-7.78289,110.38209
artha_doit,"CAPTAIN TOWING JOGJA - LAYANAN DEREK TOWING 24 JAM
GO GO 'n crew (PURWOREJO - JOGJA)

Yang ini? https://t.co/fP7K8Pglzt",neutral,-7.7454272,110.3980036
iwakpitik,"sekak sik bos? (with Fajar, danukurniawan, and 3 others at NOE Coffee &amp; Kitchen) [pic] ? https://t.co/MwHsp5wa6f",neutral,-7.7834,110.37938
ega_very,"See you next time in Jogjakarta, Universiti Putra Malaysia. @ FMIPA? https://t.co/MGb9EbaR6Q",neutral,-7.77116113,110.38992591
fendizuris,"Klepas klepus mbah
.
.
.
#humaninterest @ Yogyakarta https://t.co/0ajMdAftsl",neutral,-7.80138889,110.36444444
KhaerunisaAS,Mornight Yogyakarta ?? . Miss you dongsss?? See you three days again ? (with Doni at @gastia) ? https://t.co/FaRWuLyeZr,negative,-7.79117,110.36427
Tyas96_,Rezeky udah ada yg ngatur gak usah kuwatir :),positive,-7.8040095,110.3835708
kopi_gemati,Titip Jual Kopi #titipjual #kopi #bantul https://t.co/OLa6PwmElW,neutral,-7.8352529,110.3777642
anggita_fiska,"Kehabisan tiket ff8 okelah , liat dia aja ? ? Danur (at Sahid J-Walk) ? https://t.co/OHWJIaWBHg",negative,-7.78448,110.39514
satyawjy,jemput siapa nich (with Papsky at @kai121) ? https://t.co/jaIlkHwdMU,neutral,-7.79005,110.36247
annisadivani23,malah ngapain anjaaay ? (with 6others at Liquid Bar &amp; Kitchen) ? https://t.co/uW1UVRHr4y,negative,-7.76714,110.36118
bajikur_,"inilah kedua penyemangatku, panutanku, pengajarku, pembimbingku? https://t.co/yAKEwGRCPs",neutral,-7.74773,110.37089
dindadarajelita,"Its all 'bout baby brian ??
Unncch unnnchh ? ???? ?

#ff8 #fastandfurious #movies #yogyakarta? (at @cinema21) ? https://t.co/0dZ84WZQbi",neutral,-7.78079,110.44642
rezzafahlevvi,Docotel Futsal and Student Exchange of the middle east (re: timur tengah) in Yogyakarta? https://t.co/gyKZNqxrcR,neutral,-7.75756875,110.37470974
sammy_rolasan,At Sop Kaki Sapi Cak Ragil ? https://t.co/WR8scQUZ89,neutral,-7.77951,110.34328
sammy_rolasan,At Sop Kaki Sapi Cak Ragil ? https://t.co/WR8scQUZ89,neutral,-7.77951,110.34328
bayu8k,Makan disebelahnya (at @eat_casablanca) [pic] ? https://t.co/3UjC0KhHjv,neutral,-7.77077,110.40887
Dimas_ArdianP,Favorit??? ? Fractures (feat. Nevve) by Illenium (at Klebengan Ct VIII Blok A No ) ? https://t.co/0vD7a6P24U,positive,-7.76694,110.38553
RatnhaSP,Nugas sampe sini (?) ?? (with Siska Audhina and Asrafil at Wirokerten Banguntapan Bantul) ? https://t.co/KdMNweFNSH,neutral,-7.85058,110.40282
klaucla_id,Ten years and still counting.. xoxo ???? @ Cubic Kitchen Bar https://t.co/qnwBDmUQwu,negative,-7.78037509,110.39251423
fachrulrmrd,Watching The Fate of the Furious (at @cinema21) ? https://t.co/PPYmBw07Cb,negative,-7.78169,110.40209
rizalbacull,Mangkat Suroboyo - Lamongan ? Terminal Giwangan by NDX A.K.A (at Terminal Giwangan) ? https://t.co/9CgVwXnB7y,positive,-7.83645,110.39284
Dewamataa,TEMAN TIDAK BOLEH MENUSUK TEMANNYA DARI BELAKANG. (kecuali? https://t.co/lRzgmYZExJ,positive,-7.80157,110.3723
DonUsro,"Santai sejenak..
.
.
.
.
.
.
.
.
#pantaicemarasewu #pantaicemara #pantaijogja #hahamokan? https://t.co/eccO5tldB5",positive,-7.77414599,110.41324834
abidadhili,Latihan(lagi)... (with Crew at https://t.co/sLa77TKNAa Games) ? https://t.co/1RH93MRd9E,neutral,-7.7895,110.39373
Ecqi,sehat2 yaaa babydut.... ??? @arianadinyati #babyboy #momtobe #dadtobe @ Rumah Sakit Happy Land? https://t.co/HrRBW32Vco,positive,-7.79392452,110.39191161
kikirahmadaniii,Happyholiday~ @ Malioboro Jogjakarta https://t.co/pKzLdnhbt5,neutral,-7.79377,110.36351
taufik_op,Burrr (at Op27 Mx Circuit Yogyakarta) [pic] ? https://t.co/SnMjpld8JY,neutral,-7.73072,110.44596
RendyPtx,"????? ???? ????????? ?????

?Seluruh yang ada di atas bumi ini fana (tidak? https://t.co/GfvDabKtVZ",positive,-7.80138889,110.36444444
Just_Ainun,"Fungsi cermin/kaca : buat ngacain diri sendiri, dan buat mirror selfie. @ Yogyakarta https://t.co/QdzJKieu7m",negative,-7.80138889,110.36444444
taufik_op,Buurr (at Op27 Mx Circuit Yogyakarta) ? https://t.co/Mewhc7fZwv,neutral,-7.73072,110.44596
purieNR,"""I love you""
""Where?""
""What?""
""Where is this love? I can't see it, I can't touch it, I can't? https://t.co/Gs7EXQ7d6J",positive,-7.8135912,110.3760769
ArandaSRahmadan,????? ? Light Years (feat. Rochelle) by Yellow Claw (at D'Senopati Malioboro Grand Hotel) ? https://t.co/5USLaTYSkF,positive,-7.8012,110.37288
yandhias,di batas kota ini..... (with sendirian at bakmi jawa batas kota) ? https://t.co/DAcQtGr79z,negative,-7.78371,110.39113
yandhias,di batas kota ini..... (with sendirian at bakmi jawa batas kota) ? https://t.co/DAcQtGr79z,negative,-7.78371,110.39113
Ananta_Kingdom,"Makan bangg ? (with Giovani, Daffa, and 2 others at @kfcindonesia) ? https://t.co/WwxVugxrh6",neutral,-7.78266,110.37266
na2ngkusuma,"Happy 3rd anniversary ya bii. Semoga Allah SWT senantiasa memberikan rahmat, hidayah dan? https://t.co/Zw8mXI9YpC",positive,-7.8026863,110.3728046
echie_jolie,"hebat yang malem2 rela jemput jauh2 krn kelaparan,gpp lah itung2? (w/ Marchsya &amp; Usma at @mcdonalds_id) [pic] ? https://t.co/ioUZvKOOj8",negative,-7.76234,110.37977
Bilfajri,"_Pemuda yang Merdesa_

Desa Dlingo, Kabupaten Bantul, Desa ujung kabupaten yang terletak di? https://t.co/CvXa7MFibz",neutral,-7.80365,110.36827
terracejogja,Party this week.. (at DanceSignal Spot - Terrace Cafe &amp; Karaoke) [pic] ? https://t.co/EXk8QIZ3CM,negative,-7.77113,110.40933
Dimspm,At Nasi Goreng Sapi Padmanaba ? https://t.co/qOvxQjZqMw,neutral,-7.764,110.38071
AGNDHK,Karma lagi dateng ke gue kayaknya.,positive,-7.76787,110.40291
Fariedhaa,Teruntuk km yg ditengah yg belum lulus ingat juli besok kamu genap 5tahun lo dikampus nda bosen? https://t.co/XDkOc78qOv,negative,-7.76221805,110.40955591
Fariedhaa,Teruntuk km yg ditengah yg belum lulus ingat juli besok kamu genap 5tahun lo dikampus nda bosen? https://t.co/XDkOc78qOv,negative,-7.76221805,110.40955591
Rhierink,Muka'ta yek... (at @bongkopitown) [pic] ? https://t.co/oYUmMa1zFX,negative,-7.79279,110.36639
bayu8k,Team pas tu porius 8 ? (at @cinema21) [pic] ? https://t.co/Kp0q4tujqX,neutral,-7.77853,110.40223
handaruajeng,Pait ? (at Angkringan Kopi Joss) [vid] ? https://t.co/vWCyvqCb0a,neutral,-7.81994,110.36904
YUTHIAU,"Pengennya akroyoga kayak jaman sekarang, tapi apa daya pantat? https://t.co/ihHx27QsFW",neutral,-7.76321193,110.39586067
KristiawanBayu,"Disponsori oleh medsos (with widibebbec, KSTM, and Elizabeth at The House of Raminten) ? https://t.co/0DbAx9VpUw",neutral,-7.78524,110.3714
FirstyonoMA,Pindah ruanga. Sekk (at ICU PKU Muhhamadiyah Jogja) ? https://t.co/uiZTxdX46W,neutral,-7.80056,110.36263
shidik_sidik,"Pertemanan sehat!!! ???????????
?
#celebrityfitness
#LIVEtoPLAY #like4like #instagood #strong? https://t.co/fY6Ih42RlN",positive,-7.7832351,110.3899765
ichasekar1,Hoam ? Shape of You by Ed Sheeran (with naufal at @kai121) ? https://t.co/0phtm4Bvpw,neutral,-7.79165,110.37575
Keripiks_Pedas,Mengutip dari lagu Sahabat Kecil yang dinyanyikan oleh? https://t.co/xoevL2YXSy,positive,-7.82577243,110.40653863
FifiApriyanda,Ngantuk dah? (with Putri at The House of Raminten) ? https://t.co/HQxqoE6Xv6,neutral,-7.7852,110.37142
rahmad_sofhyan,@Erikasteell Waaa ra loyal e koe huft?,positive,-7.7491739,110.2932703
anisamungil,"Meetup kakak-kakak cantik? (with Septhie Wulan, Dwi Agitha, and 3 others at Simetri Coffee Roaster) [pic] ? https://t.co/3YhbcW47i1",positive,-7.80463,110.3151
Ellandy_Avant,"BEM Fakultas Hukum UMY
Present :
Closing Ceremony PRH 2017
 ? (w/ Bvelyn, Dyah, &amp; 458 others at @umyogya) [pic] ? https://t.co/wIYDRqW92I",neutral,-7.83983,110.39341
Raynaldydchln,Tone nya enak ? ? The Fate of the Furious (with Feby Taradiva ? at @cgvblitz) ? https://t.co/gDn5H7Ddv3,negative,-7.75613,110.403
klithikanonline,"Rejeki Papa &amp; Anak ganteng.
Lagi asik main Games. Tiba2 ada Orang Asing (Luar Negeri) mendekati? https://t.co/c6A8xrKjtL",neutral,-7.77443,110.36118
Link_Kopi,Late night blues americano coffee @ Surami Cafe &amp; Craft https://t.co/foLpG6uK7I,neutral,-7.8208648,110.3664163
destiPR,?? @ Yogyakarta https://t.co/gEI71HjBDC,neutral,-7.80138889,110.36444444
dhinyrensi,"ngopi dulu , kalau gak ngopi gak uuuuuu ?? (with Dio, Silvana, and wahyu at Legend Premium Coffee) ? https://t.co/1diWyAid74",negative,-7.78803,110.37278
Mufli_ee,Nobar sambil live DJ... (at St. Bier Bar &amp; Kitchen) ? https://t.co/y2G8FU3HTq,neutral,-7.7727,110.40456
triwahy20340221,@puput_martina makan-makanlah ya klau berhasil,positive,-7.76475,110.42339
MumtazFuadi,Brfoto dgn kluarga ddpn bangunan SMA IT Abu Bakar Kulonprogo yg msh dlm tahap pmbangunan? @? https://t.co/K565cQYIvV,negative,-7.7654054,110.3825155
weirdeetz,One more before going to bed. S is for Sleep. Generated in photoshop using my experimental? https://t.co/6WLGPki2F0,neutral,-7.72034755,110.39274931
Fenti_kellyc,kucing yg ga pernah nglawan sama skali. Diapain aja diem. dibully? https://t.co/YF5vZKRSeC,negative,-7.79729113,110.36868674
