terms,value
bus transjakarta,848
jalur busway,496
telolet om,493
halte busway,422
om pt_transjakarta,370
digembok ahok,350
man one,349
man one ticket,344
one ticket,344
om telolet,342
one man one,338
one man,338
om telolet om,337
masuk jalur,292
masuk jalur busway,287
telolet om pt_transjakarta,260
om pt_transjakarta ttd,255
pt_transjakarta ttd,255
ttd ahok,255
pt_transjakarta ttd ahok,255
digembok om,254
digembok om telolet,254
bus busway,243
bus busway pergi,242
busway pergi,242
klakson telolet,239
bersedih laki,229
laki laki,229
laki bus,229
laki laki bus,229
bersedih laki laki,229
laki bus busway,229
foke bangun,210
221 halte,207
ahok transjakarta,197
transjakarta cares,193
ahok transformasi transjakarta,189
transformasi transjakarta,189
ahok transformasi,189
digembok ahok transformasi,188
pakai klakson telolet,186
pakai klakson,186
halte transjakarta,183
pt transjakarta,183
hayo ngakuuu,181
busway hayo,181
busway hayo ngakuuu,181
perna busway hayo,181
perna busway,181
gimin_ireng perna busway,180
