terms,value
yogyakarta,1136
jogja,510
order,303
batik,264
ayam,250
utk,241
malioboro,238
silahkan,227
merapat,225
collection,222
admin,218
lgsg,218
kontak,218
unsei,216
hotel,195
makan,190
happy,160
coffee,155
jog_ap1,155
kopi,145
jogjastudent,145
indonesia,137
photo,128
aja,126
selamat,124
mie,121
gak,115
wa,113
000,111
logan,110
jalan,110
posted,108
universitas,107
cinema21,107
nya,106
taman,105
plazaambarrukmo,104
2017,103
day,103
rp,101
kai121,100
alhamdulillah,97
bakso,97
mas,94
orang,93
kampus,91
pagi,90
warung,88
udah,87
ga,86
mcdonalds_id,84
mall,84
malam,83
bu,83
anak,82
jam,81
ugm,79
soto,76
love,76
lippoplazajogja,76
fakultas,76
ugmyogyakarta,76
banget,75
alun,74
rumah,74
time,74
jl,73
resto,73
jogjakarta,72
nasi,69
city,68
angkringan,68
house,67
sari,67
uny,66
cafe,66
goreng,65
kota,65
mbak,65
ukuran,64
gelato,64
open,63
susu,63
plaza,62
pantai,62
kalo,61
sleman,61
sore,61
biar,61
kuliah,61
food,60
cepat,59
clutch,59
sms,58
see,57
siang,57
cgvblitz,57
ketemu,57
harga,56
maret,56
center,56
bismillah,55
latepost,55
indah,54
rs,53
international,52
cinemaxxtheater,51
semoga,51
pasar,50
geprek,50
es,49
foto,49
teman,49
mbah,48
tempo,48
ayu,48
new,48
repost,47
putri,47
lupa,47
kitchen,47
pulang,47
sbuxindonesia,47
vid,46
kedai,46
family,46
rindu,46
semangat,46
yuk,45
bunga,45
lesehan,45
minggu,45
ku,45
kali,44
futsal,44
info,44
uad,44
panas,44
merapi,43
gastia,43
sate,43
dr,42
bar,42
jogjacitymall,42
sma,42
terimakasih,42
line,42
lippo,42
tugu,42
kesini,41
diy,41
best,41
kfcindonesia,40
bikin,40
annisa,40
nih,40
allah,39
water,39
enak,39
one,39
gedung,39
ready,39
sunday,39
si,39
bahagia,39
kidul,38
kantor,38
27x17cm,38
yaa,38
bantul,38
hidup,37
ngopi,37
jln,37
sehat,37
tab,37
good,37
mal,37
jakarta,37
sapi,36
toko,36
museum,36
gudeg,36
chat,36
km,36
masjid,36
waroeng,35
belajar,35
preksu,35
jual,35
kau,35
panti,35
muhammadiyah,34
hartonomall_yk,34
rapat,34
sakit,34
story,34
bakmi,34
pathdaily,34
kost,34
sih,34
